Family;Species;Mass;wsurface;Ta;;;;;;;
Phyllostomidae;Anoura_geoffroyi;13.98;103.94;24.09092236;;;;;;;
Vespertilionidae;Antrozous_pallidus;17.3;210;14.66468191;;;;;;;
Phyllostomidae;Artibeus_concolor;20.4;204.26;26.02020836;;;;;;;
Phyllostomidae;Artibeus_jamaicensis;47.06;255.45;25.03851509;;;;;;;
Phyllostomidae;Artibeus_lituratus;59.565;320.535;25.33707809;;;;;;;
Phyllostomidae;Artibeus_obscurus;43.66;314.91;25.521348;;;;;;;
Molossidae;Austronomus_australis;36;180;20.95042801;;;;;;;
Vespertilionidae;Baeodon_gracilis;4.68;54.84;21.89200974;;;;;;;
Emballonuridae;Balantiopteryx_io;4.83;53.28;25.16611385;;;;;;;
Emballonuridae;Balantiopteryx_plicata;6.7;63.81;23.80144882;;;;;;;
Pteropodidae;Balionycteris_maculata;13.9;120;26.15510368;;;;;;;
Vespertilionidae;Barbastella_barbastellus;10.3;111;9.016625404;;;;;;;
Antrozoidae;Bauerus_dubiaquercus;16.16;118.83;25.50654602;;;;;;;
Phyllostomidae;Carollia_brevicauda;15.71;130.57;25.72304153;;;;;;;
Phyllostomidae;Carollia_perspicillata;18.04;149.74;25.40691757;;;;;;;
Phyllostomidae;Carollia_subrufa;15.58;98.1;23.90550041;;;;;;;
Phyllostomidae;Centurio_senex;17.15;110.35;25.37266159;;;;;;;
Molossidae;Chaerephon_plicatus;23.6;106;26.26003075;;;;;;;
Molossidae;Chaerephon_pumilus;10.5;87;24.86883926;;;;;;;
Vespertilionidae;Chalinolobus_dwyeri;8.5;126;18.83693218;;;;;;;
Vespertilionidae;Chalinolobus_gouldii;15.3;140;21.87477303;;;;;;;
Vespertilionidae;Chalinolobus_morio;9.9;109;17.66389656;;;;;;;
Phyllostomidae;Chiroderma_salvini;21.1;132.8;24.64617157;;;;;;;
Phyllostomidae;Chiroderma_trinitatum;13;144.6;25.81844711;;;;;;;
Phyllostomidae;Chiroderma_villosum;21.33;156.85;25.74420738;;;;;;;
Phyllostomidae;Choeroniscus_godmani;8.07;77.57;25.90943718;;;;;;;
Phyllostomidae;Choeroniscus_minor;8.54;91.82;25.99300003;;;;;;;
Phyllostomidae;Choeronycteris_mexicana;17.58;120.21;19.72301102;;;;;;;
Phyllostomidae;Chrotopterus_auritus;72.79;506.11;25.44683361;;;;;;;
Emballonuridae;Coleura_seychellensis;10.4;126;26.63511848;;;;;;;
Vespertilionidae;Corynorhinus_rafinesquii;8.3;138;16.51551056;;;;;;;
Vespertilionidae;Corynorhinus_townsendii;9.07;117.7;10.50407314;;;;;;;
Craseonycteridae;Craseonycteris_thonglongyai;1.9;36;26.78607368;;;;;;;
Molossidae;Cynomops_greenhalli;18.6;53.09;26.18728065;;;;;;;
Molossidae;Cynomops_paranus;9;110.18;25.96190166;;;;;;;
Pteropodidae;Cynopterus_brachyotis;26.5;198;26.16701984;;;;;;;
Pteropodidae;Cynopterus_horsfieldii;52.9;302;26.33728027;;;;;;;
Pteropodidae;Cynopterus_sphinx;41.5;258;25.32723999;;;;;;;
Phyllostomidae;Dermanura_azteca;23.1;121.45;21.91404152;;;;;;;
Phyllostomidae;Dermanura_gnoma;9.33;118.36;25.74780273;;;;;;;
Phyllostomidae;Dermanura_phaeotis;9.98;95.09;25.87403107;;;;;;;
Phyllostomidae;Dermanura_tolteca;14.09;95;23.43627167;;;;;;;
Phyllostomidae;Dermanura_watsoni;10.85;95.22;25.45661449;;;;;;;
Phyllostomidae;Desmodus_rotundus;33.02;207;24.69906712;;;;;;;
Phyllostomidae;Diaemus_youngi;38.05;180.48;25.45676041;;;;;;;
Emballonuridae;Diclidurus_albus;19.73;143.48;25.57518768;;;;;;;
Phyllostomidae;Diphylla_ecaudata;31.76;177.43;24.51112461;;;;;;;
Pteropodidae;Dobsonia_moluccensis;378;1060;25.67560387;;;;;;;
Pteropodidae;Dobsonia_viridis;238;884;25.17237663;;;;;;;
Pteropodidae;Eidolon_helvum;274;879;24.22443295;;;;;;;
Emballonuridae;Emballonura_monticola;5.3;90;26.28322983;;;;;;;
Emballonuridae;Emballonura_semicaudata;5.6;97;25.32795334;;;;;;;
Phyllostomidae;Enchisthenes_hartii;14.89;92.14;24.61859322;;;;;;;
Pteropodidae;Eonycteris_spelaea;42.8;218;25.51931;;;;;;;
Pteropodidae;Epomophorus_gambianus;158;575;26.75680161;;;;;;;
Pteropodidae;Epomophorus_labiatus;73;307;24.46023464;;;;;;;
Pteropodidae;Epomops_franqueti;109;552;24.34710407;;;;;;;
Vespertilionidae;Eptesicus_brasiliensis;9;104.14;25.41259384;;;;;;;
Vespertilionidae;Eptesicus_furinalis;8.39;69.55;24.97327614;;;;;;;
Vespertilionidae;Eptesicus_fuscus;15.75;140.65;9.301067829;;;;;;;
Vespertilionidae;Eptesicus_hottentotus;30;210;20.14347839;;;;;;;
Vespertilionidae;Eptesicus_nilssonii;9.2;112;1.587859452;;;;;;;
Vespertilionidae;Eptesicus_serotinus;22.3;180;10.27873993;;;;;;;
Phyllostomidae;Erophylla_sezekorni;16.3;122;25.22908688;;;;;;;
Molossidae;Eumops_auripendulus;20;116.32;25.35120296;;;;;;;
Molossidae;Eumops_bonariensis;7;65.7;19.2852087;;;;;;;
Molossidae;Eumops_glaucinus;33.8;136.4;25.47309399;;;;;;;
Molossidae;Eumops_hansae;17.5;56.13;26.02896881;;;;;;;
Molossidae;Eumops_perotis;53.5;209;24.64384937;;;;;;;
Molossidae;Eumops_underwoodi;60.66;224.08;23.17178631;;;;;;;
Vespertilionidae;Falsistrellus_tasmaniensis;22.3;147;13.67263508;;;;;;;
Phyllostomidae;Gardnerycteris_crenulatum;13.95;182.365;25.67464066;;;;;;;
Phyllostomidae;Glossophaga_commissarisi;7.7;67.84;25.71116638;;;;;;;
Phyllostomidae;Glossophaga_leachii;10.58;72.56;23.31888485;;;;;;;
Phyllostomidae;Glossophaga_morenoi;9.61;72.14;22.97728634;;;;;;;
Phyllostomidae;Glossophaga_soricina;9.95;91.97;25.24137974;;;;;;;
Phyllostomidae;Glyphonycteris_daviesi;21;270.41;26.15272903;;;;;;;
Phyllostomidae;Glyphonycteris_sylvestris;8.16;101.54;26.06742191;;;;;;;
Pteropodidae;Harpyionycteris_celebensis;104;529;24.59282303;;;;;;;
